Designator,Footprint,Quantity,Value,LCSC Part #
C101,C_Rect_L7.5mm_W6.5mm_P5.00mm,1,1.5u,
C102,1206,1,220p,
"C103, C104",C_Rect_L31.5mm_W13.0mm_P27.50mm_MKS4,2,4.7u,
C105,C_Rect_L7.0mm_W2.5mm_P5.00mm,1,220p,
C106,1206,1,33p,
"C107, C109, C115",CP_Radial_D6.3mm_P2.50mm,3,100u,
C108,C_Rect_L7.0mm_W3.5mm_P5.00mm,1,68n,
"C110, C111, C112, C113, C114",1206,5,10u,
"C116, C117",CP_Radial_D18.0mm_P7.50mm,2,6800u,
"C118, C119",CP_Radial_D10.0mm_P5.00mm,2,470u,
"C120, C121",1206,2,100n,
"C122, C123",1206,2,1u,
C124,1206,1,100n 100V,
"D101, D102",D_MELF-RM10_Universal_Handsoldering,2,1N4148W,
D103,LED_D5.0mm,1,LED red,
D104,LED_D5.0mm,1,LED green,
D105,Diode_Bridge_Vishay_KBU,1,KBU1010,
"F101, F102",Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open,2,3A,
"J101, J102","PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical",2,2,
J103,"PhoenixContact_MCV_1,5_3-G-5.08_1x03_P5.08mm_Vertical",1,3,
Q101,TO-220-3_Vertical,1,BT139-600E,
Q102,SOT-23_Handsoldering,1,BC817,
Q103,SOT-23_Handsoldering,1,BC807,
"R101, R115, R116",1206,3,0,
"R102, R105",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,33k 1%,
"R103, R104",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,2.2k 1%,
"R106, R108",1206,2,22k,
R107,R_Axial_DIN0614_L14.3mm_D5.7mm_P25.40mm_Horizontal,1,3.3 2W,
R109,R_Axial_DIN0922_L20.0mm_D9.0mm_P30.48mm_Horizontal,1,10 3W,
R110,R_Axial_Power_L25.0mm_W9.0mm_P7.62mm_Vertical,1,0.47 3W,
"R111, R112, R113",1206,3,1k,
R114,1206,1,47k,
"R117, R118",1206,2,10k,
"R119, R120",1206,2,10,
R121,2512,1,0,
U101,TO-220-11_P3.4x5.08mm_StaggerOdd_Lead4.58mm_Vertical,1,LM3886TF,
