Designator,Mid X,Mid Y,Rotation,Layer
C101,117.856,-58.206,90.0,top
C102,99.822,-52.451,180.0,bottom
C103,89.408,-78.198,90.0,top
C104,104.14,-78.198,90.0,top
C105,88.519,-49.403,270.0,top
C106,81.661,-61.214,180.0,bottom
C107,98.786,-47.244,0.0,top
C108,79.756,-80.351,270.0,top
C109,116.84,-79.482,270.0,top
C110,118.872,-82.804,180.0,bottom
C111,118.872,-87.63,180.0,bottom
C112,118.872,-92.456,180.0,bottom
C113,114.808,-85.217,0.0,bottom
C114,114.808,-90.043,0.0,bottom
C115,116.84,-95.778,90.0,top
C116,38.1,-73.466,90.0,top
C117,38.1,-53.32178,90.0,top
C118,52.07,-59.095,90.0,top
C119,52.07,-48.427,90.0,top
C120,64.516,-53.34,270.0,bottom
C121,64.516,-47.117,90.0,bottom
C122,60.96,-53.34,270.0,bottom
C123,60.96,-47.117,90.0,bottom
C124,70.485,-107.696,180.0,bottom
D101,103.124,-108.204,0.0,bottom
D102,103.124,-113.665,180.0,bottom
D103,52.324,-78.74,180.0,top
D104,52.324,-71.628,0.0,top
D105,61.849,-105.918,270.0,top
F101,49.022,-96.898,270.0,top
F102,36.83,-96.898,270.0,top
J101,118.618,-69.215,90.0,top
J102,73.152,-93.091,90.0,top
J103,73.406,-110.998,0.0,top
Q101,91.694,-111.252,270.0,top
Q102,113.411,-102.616,180.0,bottom
Q103,114.046,-108.204,180.0,bottom
R101,113.284,-65.786,90.0,bottom
R102,108.712,-53.086,270.0,top
R103,100.076,-52.832,0.0,top
R104,92.202,-58.166,180.0,top
R105,79.502,-58.928,0.0,top
R106,77.216,-56.388,180.0,bottom
R107,73.914,-74.364,270.0,top
R108,76.682,-43.561,180.0,bottom
R109,62.992,-75.946,270.0,top
R110,86.36,-103.632,270.0,top
R111,85.344,-117.856,0.0,bottom
R112,99.187,-104.521,180.0,bottom
R113,99.187,-100.965,180.0,bottom
R114,105.918,-102.362,180.0,bottom
R115,120.65,-96.774,270.0,bottom
R116,118.999,-103.632,90.0,bottom
R117,55.88,-81.026,270.0,bottom
R118,55.88,-74.041,270.0,bottom
R119,81.788,-70.375,0.0,bottom
R120,81.762,-66.557,0.0,bottom
R121,51.31,-91.44,0.0,bottom
U101,76.623,-48.618,0.0,top
