"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U302";"WC1602A";1;"WH1602B";;;
2;"R224,R336,R334,R332,R337,R214,R233,R331,R215,R339,R327,R345,R326,R323,R333,R344,R338";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";17;"1k";;;
3;"C222,C223";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1n";;;
4;"C321,C323,C227,C207";"CP_Radial_D6.3mm_P2.50mm";4;"100u";;;
5;"SW301";"SW_PUSH-12mm";1;"SW_Push";;;
6;"C413,C410,C405,C412,C409,C315,C406,C411,C407,C414,C408";"CP_Radial_D8.0mm_P3.50mm";11;"220u";;;
7;"R404,R403";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"0";;;
8;"D301";"LED_D3.0mm";1;"LED_GREEN";;;
9;"D402,D401";"D_SMB";2;"SMAJ15.0A";;;
10;"C312,C229,C230,C206,C205,C310,C226,C238,C239,C209,C303,C318,C208,C211,C235,C314,C221,C225,C309,C311,C320,C237,C313,C319,C212";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";25;"100n";;;
11;"C322,C324,C228,C301,C403,C210,C401,C218,C302,C308,C307,C404,C402,C232,C317,C306,C305,C233,C316,C304";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";20;"10u";;;
12;"SW302";"RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm_CircularMountingHoles";1;"Encoder PEC11R";;;
13;"C201,C204,C203,C202";"C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";4;"1.5u";;;
14;"R322,R324,R305";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"2,7k";;;
15;"R225,R340,R341,R330,R219,R218,R335,R329,R328";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";9;"10k";;;
16;"D201";"SOT-23_Handsoldering";1;"BAS40-04";;;
17;"R211,R208,R205,R206";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10";;;
18;"J301";"PinSocket_1x16_P2.54mm_Horizontal";1;"Conn_01x16";;;
19;"C219,C220";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"33p";;;
20;"R232,R217";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1k 1%";;;
21;"U305";"SOT-223-3_TabPin2";1;"TLV1117-50IDC";;;
22;"R313,R320,R312,R314,R220,R228,R309,R227,R319,R315,R311,R221,R316,R321,R308,R317,R318,R310";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";18;"100";;;
23;"C236,C224";"CP_EIA-6032-20_AVX-F_HandSolder";2;"22u";;;
24;"C215,C217";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"220p";;;
25;"J202,J402,J201";"PhoenixContact_MCV_1,5_3-G-3.81_1x03_P3.81mm_Vertical";3;"3";;;
26;"C234,C213,C216,C214,C231";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"0";;;
