Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C203, C204",C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,4,1.5u,
"C205, C206, C208, C209, C211, C212, C221, C225, C226, C229, C230, C235, C237, C238, C239, C303, C309, C310, C311, C312, C313, C314, C318, C319, C320",0805,25,100n,
"C207, C227, C321, C323",CP_Radial_D6.3mm_P2.50mm,4,100u,
"C210, C218, C228, C232, C233, C301, C302, C304, C305, C306, C307, C308, C316, C317, C322, C324, C401, C402, C403, C404",0805,20,10u,
"C213, C214, C216, C231, C234, R207, R222, R223, R226, R229, R230, R234, R304, R325",0805,14,0,
"C215, C217",0805,2,220p,
"C219, C220",0805,2,33p,
"C222, C223",0805,2,1n,
"C224, C236",CP_EIA-6032-20_AVX-F_HandSolder,2,22u,
"C315, C405, C406, C407, C408, C409, C410, C411, C412, C413, C414",CP_Radial_D8.0mm_P3.50mm,11,220u,
C415,1206,1,100n,
D201,SOT-23_Handsoldering,1,BAS40-04,
D301,LED_D3.0mm,1,LED_GREEN,
"D401, D402",D_SMB,2,SMAJ15.0A,
D403,Diode_Bridge_OnSemi_SDIP-4L,1,DF01S,
"F401, F402",1206,2,MF-NSMF012-2,
"J201, J202, J402","PhoenixContact_MCV_1,5_3-G-3.81_1x03_P3.81mm_Vertical",3,3,
"J203, J204","PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical",2,2,
J301,PinSocket_1x16_P2.54mm_Horizontal,1,Conn_01x16,
"J302, J401, J403",PinHeader_1x01_P2.54mm_Vertical,3,1,
J303,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"J304, J305",PinHeader_1x04_P2.54mm_Vertical,2,4,
Q301,SOT-23_Handsoldering,1,BC817-40,
"R201, R202, R203, R204, R212, R213",1206,6,10k 1%,
"R205, R206, R208, R211",0805,4,10,
"R209, R210",0805,2,5.1k,
"R214, R215, R224, R233, R323, R326, R327, R331, R332, R333, R334, R336, R337, R338, R339, R344, R345",0805,17,1k,
"R216, R231",0805,2,330 1%,
"R217, R232",0805,2,1k 1%,
"R218, R219, R225, R328, R329, R330, R335, R340, R341",0805,9,10k,
"R220, R221, R227, R228, R308, R309, R310, R311, R312, R313, R314, R315, R316, R317, R318, R319, R320, R321",0805,18,100,
"R301, R401, R402",1206,3,1,
"R302, R306",0805,2,2.7k,
R303,1206,1,100,
"R305, R322, R324",0805,3,"2,7k",
"R307, R342",0805,2,0.33,
R343,0805,1,220,
"R403, R404",1206,2,0,
RV301,Potentiometer_Vishay_T73YP_Vertical,1,KLS4-3362P 5.1k,
SW301,SW_PUSH-12mm,1,SW_Push,
SW302,RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm_CircularMountingHoles,1,Encoder PEC11R,
"TP201, TP202, TP402",TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,3,TestPoint,
U201,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA1678IDR,
"U202, U203",SOIC-16_3.9x9.9mm_P1.27mm,2,CD74HCT4052B,
U204,SOIC-8_3.9x4.9mm_P1.27mm,1,LM337LM,
U205,SOIC-16W_7.5x10.3mm_P1.27mm,1,PGA2311UA,
U206,SOIC-8_3.9x4.9mm_P1.27mm,1,LM317LIDR,
U207,SOIC-8_3.9x4.9mm_P1.27mm,1,UA78L05AIDR,
U301,SOT-23-5_HandSoldering,1,TPS60403DBV,
U302,WC1602A,1,WH1602B,
U303,SOIC-24W_7.5x15.4mm_P1.27mm,1,SN74LVC8T245DW,
U304,LQFP-32_7x7mm_P0.8mm,1,STM32G070KBT6,
U305,SOT-223-3_TabPin2,1,TLV1117-50IDC,
U306,SOT-23-5_HandSoldering,1,LP2985-33DBV,
U307,SOT-23-6_Handsoldering,1,SN74LVC2G17DBV,
