Designator,Mid X,Mid Y,Rotation,Layer
C201,106.0,-55.372,180.0,top
C202,106.0,-45.593,180.0,top
C203,106.0,-36.068,180.0,top
C204,106.0,-26.543,180.0,top
C205,60.071,-39.751,0.0,bottom
C206,73.152,-50.673,270.0,bottom
C207,47.625,-71.14,90.0,top
C208,81.026,-42.799,270.0,bottom
C209,80.518,-25.527,270.0,bottom
C210,38.608,-64.262,180.0,bottom
C211,93.853,-52.324,270.0,bottom
C212,93.853,-31.242,90.0,bottom
C213,37.592,-58.801,90.0,bottom
C214,78.486,-49.149,270.0,bottom
C215,127.762,-58.928,270.0,bottom
C216,86.741,-38.608,270.0,bottom
C217,130.937,-54.737,270.0,bottom
C218,52.53325,-62.008,270.0,bottom
C219,65.532,-39.878,0.0,bottom
C220,71.058,-43.053,0.0,bottom
C221,38.3325,-54.102,0.0,bottom
C222,59.182,-51.054,0.0,top
C223,56.642,-44.196,0.0,top
C224,67.31,-63.627,180.0,bottom
C225,74.041,-54.991,0.0,bottom
C226,96.139,-42.926,270.0,bottom
C227,24.638,-37.572,270.0,top
C228,30.734,-35.306,270.0,bottom
C229,42.545,-43.053,0.0,top
C230,42.545,-48.895,0.0,top
C231,34.0145,-35.179,270.0,bottom
C232,34.036,-30.226,270.0,bottom
C233,27.94,-61.468,180.0,bottom
C234,27.94,-58.166,180.0,bottom
C235,38.354,-37.592,0.0,bottom
C236,52.324,-26.416,180.0,bottom
C237,60.071,-36.068,0.0,bottom
C238,28.575,-44.704,90.0,bottom
C239,74.041,-32.004,180.0,bottom
C301,171.831,-30.734,180.0,bottom
C302,125.222,-41.656,0.0,bottom
C303,137.922,-43.18,180.0,bottom
C304,126.492,-44.45,0.0,bottom
C305,134.62,-28.702,0.0,bottom
C306,124.46,-52.705,180.0,bottom
C307,167.894,-45.847,0.0,bottom
C308,165.862,-49.276,90.0,bottom
C309,166.243,-61.849,270.0,bottom
C310,169.672,-62.103,270.0,bottom
C311,196.342,-48.133,180.0,bottom
C312,191.262,-54.61,0.0,top
C313,205.105,-53.34,90.0,bottom
C314,205.486,-64.262,270.0,bottom
C315,207.518,-31.525651,90.0,top
C316,209.423,-45.847,270.0,bottom
C317,201.549,-30.861,90.0,bottom
C318,241.173,-58.166,90.0,bottom
C319,250.571,-58.166,270.0,bottom
C320,240.157,-62.992,90.0,bottom
C321,181.082,-25.273,0.0,top
C322,192.405,-49.784,0.0,top
C323,127.782,-32.004,180.0,top
C324,183.261,-30.734,90.0,bottom
C401,85.725,-74.3165,90.0,bottom
C402,90.424,-71.755,90.0,bottom
C403,222.377,-45.339,0.0,bottom
C404,216.154,-45.339,0.0,bottom
