Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C105, C106, C107, C108, C111, C113, C124, C125, C134, C135",0805,13,100n,
"C104, C112",0805,2,10u,
"C109, C110",CP_EIA-6032-20_AVX-F_HandSolder,2,33u,
"C114, C115, C126, C129, C132, C133",0805,6,220p,
"C116, C117, C118, C120",0805,4,33p,
"C119, C121",C_Rect_L7.5mm_W6.5mm_P5.00mm,2,"1,5u",
"C122, C123",0805,2,10n,
"C127, C128, C130, C131",1206,4,100n,
"D101, D102",D_SOD-123,2,1N5819,
J101,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01,
J102,PinSocket_1x12_P2.54mm_Vertical,1,Conn_01x05,
J103,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05,
"R101, R102, R104, R106, R109, R110, R111, R112, R113, R114, R117, R118, R120, R122, R124, R126",0805,16,10k,
"R103, R105",0805,2,15k,
"R107, R108",0805,2,100,
"R115, R116, R119, R121, R123, R125",0805,6,"3,3k",
"U101, U102, U103",SOIC-8_3.9x4.9mm_P1.27mm,3,OPA1678,
U104,SOT-23-5_HandSoldering,1,TLV9051xDBV,
"U105, U106",TSSOP-14_4.4x5mm_P0.65mm,2,MCP4261,
