Designator,Mid X,Mid Y,Rotation,Layer
C101,76.835,-29.591,180.0,bottom
C102,70.4088,-34.417,0.0,top
C103,57.531,-59.436,90.0,top
C104,67.056,-65.024,180.0,bottom
C105,74.549,-56.388,180.0,bottom
C106,68.072,-64.516,0.0,top
C107,58.42,-40.767,270.0,top
C108,67.945,-51.181,0.0,top
C109,56.007,-27.051,0.0,bottom
C110,55.88,-62.992,180.0,bottom
C111,61.468,-33.782,90.0,top
C112,83.185,-43.815,270.0,top
C113,70.485,-44.196,180.0,bottom
C114,59.055,-45.339,180.0,bottom
C115,56.769,-53.086,270.0,bottom
C116,65.151,-26.9455,90.0,bottom
C117,68.326,-54.483,180.0,bottom
C118,77.724,-29.845,90.0,top
C119,74.255,-39.497,180.0,bottom
C120,77.851,-55.753,90.0,top
C121,74.255,-48.895,180.0,bottom
C122,82.042,-26.924,0.0,top
C123,83.566,-27.178,180.0,bottom
C124,81.915,-48.006,0.0,top
C125,83.566,-48.641,180.0,bottom
C126,82.55,-36.8515,90.0,bottom
C127,87.122,-37.465,180.0,top
C128,87.122,-37.846,0.0,bottom
C129,82.677,-58.42,90.0,bottom
C130,87.376,-59.182,180.0,top
C131,87.376,-59.309,0.0,bottom
C132,88.392,-25.654,0.0,bottom
C133,85.725,-44.196,270.0,bottom
C134,90.678,-31.496,90.0,bottom
C135,91.44,-52.197,180.0,bottom
D101,75.184,-42.037,180.0,top
D102,75.184,-46.355,180.0,top
J101,92.456,-25.654,0.0,bottom
J102,52.8,-45.085,0.0,bottom
J103,86.263,-65.532,270.0,bottom
R101,53.467,-63.119,0.0,top
R102,57.404,-64.135,270.0,top
R103,58.293,-32.004,90.0,top
R104,64.262,-30.607,180.0,top
R105,57.785,-52.324,0.0,top
R106,62.738,-58.801,90.0,top
R107,57.785,-45.466,0.0,top
R108,57.785,-48.895,0.0,top
R109,60.706,-27.94,0.0,top
R110,63.754,-55.118,0.0,top
R111,62.484,-38.481,0.0,top
R112,62.611,-51.435,0.0,top
R113,64.897,-26.924,90.0,top
R114,68.453,-54.483,0.0,top
R115,61.087,-41.402,0.0,bottom
R116,61.087,-50.038,0.0,bottom
R117,68.707,-38.989,270.0,top
R118,68.707,-44.704,270.0,top
R119,81.915,-37.211,0.0,top
R120,81.915,-34.036,0.0,top
R121,81.931,-30.48,0.0,top
R122,84.836,-32.258,180.0,bottom
R123,81.788,-58.801,0.0,top
R124,81.788,-55.499,0.0,top
R125,81.788,-51.943,0.0,top
R126,84.328,-53.721,180.0,bottom
U101,71.628,-29.464,270.0,top
U102,69.469,-59.436,270.0,top
U103,63.5,-45.085,0.0,top
U104,61.788,-63.58,270.0,top
U105,87.63,-30.988,180.0,top
U106,87.63,-52.324,180.0,top
