"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D101,D102";"D_SOD-123";2;"1N5819";;;
2;"U106,U105";"TSSOP-14_4.4x5mm_P0.65mm";2;"MCP4261";;;
3;"C112,C104";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10u";;;
4;"R124,R101,R120,R102,R113,R109,R114,R106,R110,R111,R118,R112,R117,R104,R122,R126";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";16;"10k";;;
5;"R103,R105";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"15k";;;
6;"C124,C106,C111,C107,C108,C102,C103,C135,C101,C125,C134,C105,C113";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";13;"100n";;;
7;"R125,R121,R123,R119,R116,R115";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"3,3k";;;
8;"U103,U101,U102";"SOIC-8_3.9x4.9mm_P1.27mm";3;"OPA1678";;;
9;"U104";"SOT-23-5_HandSoldering";1;"TLV9051xDBV";;;
10;"C120,C118,C116,C117";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"33p";;;
11;"R107,R108";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100";;;
12;"C127,C130,C131,C128";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"100n";;;
13;"C122,C123";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10n";;;
14;"J103";"PinSocket_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
15;"C133,C114,C126,C115,C132,C129";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"220p";;;
16;"C110,C109";"CP_EIA-6032-20_AVX-F_HandSolder";2;"33u";;;
17;"C121,C119";"C_Rect_L7.5mm_W6.5mm_P5.00mm";2;"1,5u";;;
18;"J101";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01";;;
19;"J102";"PinSocket_1x12_P2.54mm_Vertical";1;"Conn_01x05";;;
